"hospitalName","hospitalMapAddress"
"Acibadem Beylikduzu Surgical Outpatient Clinic Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14b55f9c06549fb1:0xbd3bafe1b13c4335?sa=X&ved=1t:8290&ictx=111"
"Yeditepe University Bagdat Street Polyclinic Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac777fbe517d3:0x3f49786a1dc42274?sa=X&ved=1t:8290&ictx=111"
"Db'est Clinic Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab70601d0d003:0xa74264a656a2ab50?sa=X&ved=1t:8290&ictx=111"
"Flora Clinic Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab707f3585c5f:0x12854b51708a1e6f?sa=X&ved=1t:8290&ictx=111"
"Acibadem Fulya Hospital Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab707807610c5:0x72b3cfc287ffd5e9?sa=X&ved=1t:8290&ictx=111"
"Acibadem Etiler Outpatient Clinic Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab616ab6def45:0x8376d4aaa22e04c?sa=X&ved=1t:8290&ictx=111"
"Medicana Avcilar Hospital Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14caa1ad6740e285:0x52c44d75462e870?sa=X&ved=1t:8290&ictx=111"
"XA Clinic Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14b55f9f94f74eef:0x98fd9625c686009a?sa=X&ved=1t:8290&ictx=111"
"Acibadem Bagdat Outpatient Clinic Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac775deb617bb:0x4510218c59003161?sa=X&ved=1t:8290&ictx=111"
"Florence Nightingale Medical Center Gokturk Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab2ee711a39f7:0x89adcd569acf9a3d?sa=X&ved=1t:8290&ictx=111"
"Yeditepe University Kozyatagi Hospital Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac79567503cd7:0x279a4fa1c66337c1?sa=X&ved=1t:8290&ictx=111"
"APEX Clinic Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab71a9480835d:0xb9e2a2c0487282bd?sa=X&ved=1t:8290&ictx=111"
"Florence Nightingale Hospital Gayrettepe Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab654be0a8b29:0xe5381cfed41be7ee?sa=X&ved=1t:8290&ictx=111"
"VM Medical Park Hospital Pendik Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cadc9fdfefb785:0xc1b5cca3cb09d734?sa=X&ved=1t:8290&ictx=111"
"Hisar Hospital Camlica Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac8f4b42a9747:0xbe49cb89f1ede142?sa=X&ved=1t:8290&ictx=111"
"Acibadem Atakent Hospital Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14caa43caf72456d:0xfc02161d5fa3ee4e?sa=X&ved=1t:8290&ictx=111"
"Medicana Kadikoy Hospital Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cab87af77ae747:0x189c6886f5d2fc20?sa=X&ved=1t:8290&ictx=111"
"Medical Park Hospital Goztepe Istanbul","https://www.google.com//maps/place//data=!4m2!3m1!1s0x14cac7c683d09c9f:0x1d90e3d8aa0e9479?sa=X&ved=1t:8290&ictx=111"
